q_inv_angstrom,debye_radial_phgdh,debye_kdt_phgdh,prop_radial_phgdh,prop_kdt_phgdh
0,1,1,1,1
0.02,0.8874003452719735,0.9353441125555148,0.8873411448145413,0.9353490226429302
0.04,0.6284647558818536,0.7630078865359701,0.6283165703309515,0.7630314696546363
0.06,0.37318420186773604,0.5377982029175883,0.3730535889841307,0.53786196253802665
0.08,0.20459702639874852,0.3230066066424728,0.2045948089469671,0.3231342244214811
0.1,0.1145581182723076,0.1644214771801762,0.11469323933525968,0.16462610370324682
0.12,0.06773076658044754,0.0760939079306838,0.06794172699750994,0.0763664788267982
0.14,0.042446217250273345,0.04323527407107402,0.04267589124211133,0.04354239288075379
0.16,0.028214312769130508,0.03768970092470181,0.028431359393111724,0.037984065318330554
0.18,0.018556691504100734,0.035383829753050704,0.018738245670541633,0.03562222950220804
0.2,0.010837317621009476,0.02614303813968102,0.010964813402974382,0.026302314960203254
0.22,0.005308790471114162,0.012668374612085372,0.005380898391533606,0.01275103924269847
0.24,0.002492879849369055,0.0025013666366940322,0.002525712853526378,0.002529075594840424
0.26,0.0016901487507963251,0,0.0017027332454631215,0
0.28,0.0015836716384127166,0.003438504109382628,0.0015895362032810737,0.003431305160976557
0.3,0.0014488325736680605,0.007606409481538396,0.0014551906162827736,0.007600619164493164
0.32,0.0011535362768309088,0.008447039222812506,0.0011608122846402365,0.008442040084751343
0.34,7.267151337369873e-4,0.00574293430115407,7.321648833850832e-4,0.005735303736368219
0.36,3.6920165781658147e-4,0.0022735704700326954,3.7224258233577314e-4,0.00226212133911929
0.38,2.3715771709785353e-4,8.796272072806553e-4,2.3944969959782087e-4,8.663330859602728e-4
0.4,2.2784253845634298e-4,0.0021491987382082434,2.3095425863314546e-4,0.0021368822138406727
0.42,2.2714090528248772e-4,0.004395398174631911,2.3136617098994038e-4,0.004385042359190573
0.44,2.1172208846191045e-4,0.005473053937901851,2.157109757967488e-4,0.005463207575606922
0.46,1.4970456109479412e-4,0.004620987366845969,1.5198700701901714e-4,0.004609318348972849
0.48,6.197759702388876e-5,0.0028351051609293533,6.265412850870362e-5,0.0028205175831336957
0.5,0,0.0017294033787383309,0,0.00171286418607962
