q_inv_angstrom,debye_radial_perlecan,debye_kdt_perlecan,prop_radial_perlecan,prop_kdt_perlecan
0,1,1,0,0
0.02,0.5780884098310007,0.9152286911686146,0.4219814632020343,0.08477180052907214
0.04,0.08981164437210244,0.6941218081979784,0.91023049330968,0.3058786860782301
0.06,0.009318765366553149,0.4193385440309981,0.9906575510636684,0.5806589499331164
0.08,0.009271732399318642,0.1820388935829931,0.9907157993501882,0.8179531337317765
0.1,0.005585120990341192,0.04041525816040425,0.9943837956583772,0.959574521379121
0.12,0.004455220321715119,0,0.9955076305170727,1
0.14,0.004282173644458403,0.023564267419882285,0.9956867837667068,0.97646536520565
0.16,0.0030551333981802234,0.06058719745523085,0.996927017892327,0.9394909097908674
0.18,0.002192056656561022,0.07648893560552911,0.9978006406533069,0.9236468333971054
0.2,0.0015630352961163976,0.06532583734539542,0.9984398191378858,0.9348622269516271
0.22,0.0011414990017423932,0.04254938522488425,0.9988656010817868,0.9576734750435536
0.24,7.518935014675399e-4,0.027203272517367046,0.9992536620987115,0.9730328258340338
0.26,5.283553008347511e-4,0.027404211124072146,0.999475773882724,0.9728285165340861
0.28,4.6031061445540503e-4,0.03761980580796724,0.9995453012171709,0.9626027854817748
0.3,3.6464842330567135e-4,0.04642635522513638,0.9996406485176716,0.953787822608
0.32,1.9596031925518524e-4,0.04658033445635431,0.9998073550459998,0.9536304015397109
0.34,1.15128597976002e-4,0.039515043962291524,0.9998881995046797,0.9606954215739418
0.36,7.80467628149425e-5,0.03220013947231522,0.9999243127654098,0.9680095168303456
0.38,4.7304670499309144e-5,0.03041677221251061,0.9999536949814092,0.969789616206251
0.4,3.310817491330133e-5,0.03437215083971811,0.999968053979408,0.9658293868043438
0.42,1.1903999289224244e-5,0.03960787370455814,0.9999893809413739,0.9605896515945269
0.44,6.792581620099433e-6,0.04147420362773221,0.9999940981725962,0.958721747835337
0.46,8.564313326008706e-6,0.03895027744641846,0.9999918093635457,0.9612459634476621
0.48,4.828393434954012e-6,0.034850027660821174,0.9999953589213894,0.9653463886622282
0.5,0,0.032853577697207266,1,0.9673412608171459
